year,total_harvest,aho,mgmt_type
1985,615539,790000,Limited Entry
1986,791246,790000,Limited Entry
1987,529635,790000,Limited Entry
1988,755412.2,790000,Limited Entry
1989,967638.113,790000,Limited Entry
1990,760048.179,790000,Limited Entry
1991,710916.315,790000,Limited Entry
1992,944247.971,790000,Limited Entry
1993,852682.273,790000,Limited Entry
1994,888549.455,790000,Limited Entry
1995,681273.31,790000,Limited Entry
1996,540035.67,790000,Limited Entry
1997,725066.67,790000,Equal Quota Share
1998,578089.64,632000,Equal Quota Share
1999,661505.51,720000,Equal Quota Share
2000,591680.27,696000,Equal Quota Share
2001,650877.67,696000,Equal Quota Share
2002,650417.22,696000,Equal Quota Share
2003,656936.79,696000,Equal Quota Share
2004,650648.99,696000,Equal Quota Share
2005,639719.43,696000,Equal Quota Share
2006,624832.3234,696000,Equal Quota Share
2007,620280.4512,696000,Equal Quota Share
2008,618033.4417,696000,Equal Quota Share
2009,595748.1283,634000,Equal Quota Share
2010,558632.8435,634000,Equal Quota Share
2011,540930.6658,583280,Equal Quota Share
2012,521825.4447,583280,Equal Quota Share
2013,505599.2395,583280,Equal Quota Share
2014,494759.6288,536618,Equal Quota Share
2015,512580.2413,536618,Equal Quota Share
2016,475465.8813,482956,Equal Quota Share
2017,514238.6358,516763,Equal Quota Share
2018,575263.7178,578774,Equal Quota Share
2019,587166.2066,590349,Equal Quota Share
2020,524560.5588,572639,Equal Quota Share
2021,516161.272,601271,Equal Quota Share
2022,590263.0491,643360,Equal Quota Share
2023,374420.8487,643360,Equal Quota Share
2024,301255.824,643360,Equal Quota Share
2025,NA,643360,Equal Quota Share
