year,n_set,cpue,sd,se
1998,37,0.11024128992211076,0.0454,0.0075
1999,37,0.17013629902187843,0.0817,0.0134
2000,37,0.1478007747639145,0.0579,0.0095
2001,37,0.10922843746615687,0.0532,0.0087
2002,37,0.14957241080260447,0.0758,0.0125
2003,37,0.1657342597556334,0.0704,0.0116
2004,37,0.15663354192292056,0.0716,0.0118
2006,37,0.13933425026210725,0.0659,0.0108
2007,37,0.13484649517784544,0.067,0.011
2008,37,0.1300606536194346,0.0771,0.0127
2009,37,0.10408707686457552,0.0819,0.0135
2010,37,0.11615688706720748,0.0744,0.0122
2011,37,0.13339689824643,0.0844,0.0139
2012,37,0.1581439990990669,0.0669,0.011
2013,28,0.12452567461642085,0.0996,0.0188
2014,29,0.1277849935598739,0.068,0.0126
2015,29,0.09443548705760545,0.0498,0.0092
2016,27,0.14958741119693728,0.0614,0.0118
2017,26,0.16394958346195587,0.0721,0.0141
2018,28,0.1650064239166013,0.0642,0.0121
2019,24,0.14733930876559484,0.0444,0.0091
2020,29,0.20554286129990199,0.0805,0.0149
2021,24,0.2207323755699511,0.0894,0.0182
2022,27,0.17887031991928065,0.1,0.0192
2023,29,0.24956638246283316,0.1081,0.0201
2024,27,0.19726489766207211,0.077,0.0148
